Epoch,Train Loss,Val Loss
1,53.9833345413208,53.506273651123045
2,53.083164850870766,53.043714904785155
3,52.86519908905029,52.57453079223633
4,52.30415439605713,52.178096771240234
5,51.590521812438965,51.71231689453125
6,51.97427304585775,51.28271331787109
7,51.5317964553833,50.93918304443359
8,50.64288838704427,50.468352508544925
9,49.71386114756266,50.04514999389649
10,49.50521024068197,49.59150085449219
11,49.40451526641846,49.17501525878906
12,48.506306966145836,48.65758209228515
13,48.462518056233726,48.188872528076175
14,47.3214308420817,47.76206512451172
15,46.35394795735677,47.301751708984376
16,46.75212605794271,46.92459335327148
17,45.610987981160484,46.4214729309082
18,45.47647476196289,46.05289306640625
19,44.362494786580406,45.593335723876955
20,43.89361063639323,45.17510986328125
21,43.53662713368734,44.639120483398436
22,43.38834698994955,44.163841247558594
23,42.341909090677895,43.7753173828125
24,42.285228411356606,43.36167984008789
25,41.555419286092125,42.808599853515624
26,41.417983055114746,42.287654113769534
27,40.548171043395996,41.766790771484374
28,39.87524127960205,41.46800231933594
29,39.41326300303141,41.048038482666016
30,38.81550725301107,40.42172012329102
31,38.644858042399086,40.127725219726564
32,38.16475582122803,39.717932891845706
33,37.14441967010498,39.15597763061523
34,36.859697341918945,38.801509094238284
35,36.46445767084757,38.294657135009764
36,35.24215793609619,37.73375778198242
37,34.649821758270264,37.25458297729492
38,34.90744972229004,36.79052047729492
39,33.85991287231445,36.5267333984375
40,33.187470277150474,35.89523696899414
41,32.63840023676554,35.427894592285156
42,31.723175525665283,34.80033187866211
43,31.481671651204426,34.09580001831055
44,31.39016596476237,34.07632217407227
45,30.39733012517293,33.586300659179685
46,29.440120697021484,32.889492416381835
47,29.323692957560223,32.46812400817871
48,29.20359182357788,32.17843437194824
49,27.399211565653484,31.12740821838379
50,27.842161019643147,31.329215240478515
51,26.126832326253254,30.268923568725587
52,25.870654106140137,29.74781951904297
53,25.014676411946613,29.337463760375975
54,25.186310132344563,28.434270477294923
55,24.073665777842205,27.832655715942384
56,23.296260515848797,27.215699768066408
57,22.261696497599285,26.796873474121092
58,22.11478614807129,26.59754524230957
59,20.9673593044281,25.67303581237793
60,20.26052761077881,24.66766777038574
61,19.61332066853841,24.194652938842772
62,19.306883017222088,24.131607437133788
63,18.385322729746502,23.19364013671875
64,17.851399739583332,22.27467155456543
65,17.08267132441203,22.24315643310547
66,16.994440873463947,22.575088882446288
67,16.195446173350017,21.5782039642334
68,15.520738045374552,20.376799011230467
69,14.45770533879598,19.35400505065918
70,13.931699752807617,18.94386978149414
71,13.287790854771933,18.710490417480468
72,12.501208305358887,17.70111083984375
73,12.72852603594462,17.87129936218262
74,12.020928780237833,17.448793792724608
75,11.69523306687673,16.619818496704102
76,10.789846618970236,15.670966148376465
77,10.150064468383789,15.286365699768066
78,9.453282356262207,15.066531944274903
79,9.840359687805176,14.674637794494629
80,8.851224422454834,14.18451099395752
81,8.665704131126404,14.240031814575195
82,8.01202885309855,13.052087020874023
83,7.578432599703471,13.137843132019043
84,7.210400541623433,12.533084297180176
85,7.436690926551819,12.393717956542968
86,6.69929567972819,12.185104942321777
87,6.666873097419739,12.24629020690918
88,7.247523903846741,11.443974113464355
89,6.382880290349324,10.938867378234864
90,6.530036608378093,10.347816848754883
91,5.927817145983378,11.136081123352051
92,5.78396197160085,10.756127548217773
93,5.8001095453898115,10.153394889831542
94,5.9718970855077105,9.780406188964843
95,4.9600032567977905,10.629312515258789
96,5.009173194567363,10.363851547241211
97,4.808497667312622,10.22109489440918
98,4.913036008675893,10.012347221374512
99,5.562574525674184,10.1955096244812
100,4.170534412066142,9.52329969406128
101,4.819538076718648,9.703237915039063
102,5.093607087930043,9.812619972229005
103,5.178940773010254,10.153619194030762
104,5.128510038057963,9.759934425354004
105,4.706300695737203,9.01542682647705
106,5.406702399253845,9.872815895080567
107,4.58958375453949,9.926185035705567
108,5.286646684010823,9.114142417907715
109,4.309856315453847,9.208132076263428
110,4.547935585180919,9.275811672210693
111,5.251727143923442,9.283816051483154
112,4.297726054986318,8.569865131378174
113,3.8961803913116455,9.0765811920166
114,4.661598443984985,8.85593032836914
115,4.245628118515015,9.568660926818847
116,4.310333530108134,9.341421699523925
117,4.202372392018636,9.40352783203125
118,4.9647981723149615,8.963525867462158
119,4.375230987866719,8.786309623718262
120,4.164057532946269,9.411493873596191
121,4.269570549329122,8.780963706970216
122,5.4115410049756365,8.455589485168456
123,4.7465365926424665,9.521039390563965
124,4.385011196136475,9.389527893066406
125,4.19955579439799,9.253022384643554
126,4.836223264535268,8.546978378295899
127,4.331953346729279,8.851504898071289
128,4.778360744317372,9.388846397399902
129,4.2544235189755755,9.177275276184082
130,4.782577971617381,9.622836589813232
131,4.637810091177623,8.876538372039795
132,5.254311939080556,9.461345291137695
133,4.372790416081746,9.253991794586181
134,4.322323183218638,9.019279098510742
135,4.351408819357554,9.059016227722168
136,4.246017833550771,8.71977653503418
137,3.90295680363973,9.196429634094239
138,4.900854825973511,8.365411567687989
139,4.550211389859517,9.008475017547607
140,4.725853304068248,9.616621971130371
141,4.264627973238627,9.748172760009766
142,4.73136430978775,9.101482009887695
143,4.77095752954483,8.61396837234497
144,5.086284498373668,8.320292758941651
145,5.659843583901723,8.02549695968628
146,3.7741160790125527,8.810049247741699
147,4.836381018161774,9.247640037536621
148,4.360563894112905,9.63678035736084
149,4.707838277022044,9.29911012649536
150,4.947743733723958,9.003011131286621
151,3.5426442424456277,9.1384765625
152,3.974933683872223,8.758712673187256
153,3.5707094073295593,8.826668167114258
154,4.760218143463135,8.862867164611817
