Description,Value,
Initial global model loss on central data,22.8555540800095,
,,
Final Evaluation Results,,
Test on CamCAN,Epochs: 200,Test MAE: 7.712939834594726
Test on SALD,Epochs: 200,Test MAE: 5.214828431606293
Test on eNKI,Epochs: 200,Test MAE: 7.657461983816964
,,
Final Evaluation Results on global model,,
Test on CamCAN,Epochs: 200,Test MAE: 7.848262310028076
Test on SALD,Epochs: 200,Test MAE: 7.767025828361511
Test on eNKI,Epochs: 200,Test MAE: 7.657461983816964
Total Time (mins),5.1097199740354,
